course,title,group,units,classification,description,prerequisites,corequisites,recommended,repeatability,grading,instructional_methods,typically_offered,credit_restrictions,breadth,learning_outcomes,last_proposal,proposal_count,findings_technical,findings_content
MUS 600,Seminar in Research Methodology,Music: Graduate Studies,3,blank,"Tools and resources available to conduct research in music. Organize and undertake a thesis-directed research project investigating important and relevant questions in music, and communicate findings in an academic manner. Required for Advancement to Candidacy.",Post-baccalaureate standing.,,,May be repeated for credit for a maximum of 6 units.,A-F grading only.,On-ground.,,,,"1. Actively participate in seminar discussions focused on important and relevant issues in the analysis of music. | 2. Develop a thesis-based research project that addresses complex and challenging questions related to music through the application of critical thinking, analytical reasoning, and research methodology. | 3. Draw upon a wide range of bibliographic tools and resources in and outside of music to research a relevant musical question or problem. | 4. Communicate your findings clearly and persuasively through both written and verbal means. | 5. Work cooperatively and respectfully with classmates on classroom, research, and presentation projects.",2016-02-05,1,"last revised 2016-02-05, still on the 2016 conversion form; no teaching component or classification on record",
MUS 601,Analysis of Musical Styles: Birth and Death of Tonality,Music: Graduate Studies,2,C05 2u,Examine the evolution of tonality from the Renaissance to Romantic eras. Develop research proficiency and analytical skills through comparative analysis of selected works. Explore the rich history of music styles and their impact.,,,,,A-F grading only.,On-ground or Online-Synchronous.,Fall Alternate Years,,,"1. demonstrate proficiency in musicological research methodologies, including the ability to critically evaluate scholarly sources, formulate research questions, and utilize appropriate bibliographic tools. | 2. develop effective communication skills through written analysis. They will be able to articulate complex musical concepts, tonal structures, and historical contexts coherently and concisely in a scholarly format adhering to proper citation styles. | 3. showcase a deep understanding of theoretical concepts learned throughout the course. This includes the ability to identify and analyze tonal structures, forms, and stylistic elements in musical compositions from the Renaissance to the Romantic era. | 4. develop critical thinking skills in interpreting and evaluating musical works. They will demonstrate the ability to connect historical and theoretical knowledge to their analyses, offering insightful perspectives on the birth and death of tonality within the broader context of music history.",2024-01-31,2,,
MUS 602,Analysis of Musical Styles: Post-Tonality and Beyond,Music: Graduate Studies,2,C05 2u,"Embark on a research and analytical seminar exploring music from the turn-of-the-century to World War II. Investigate diverse musical landscapes, honing critical analysis and research skills within an evolving theoretical framework.",,,,,A-F grading only.,On-ground or Online-Synchronous.,Fall Alternate Years,,,"1. develop advanced analytical skills, demonstrating a nuanced understanding of music from the 20th Century through the examination of diverse compositions and styles. | 2. engage in comprehensive research methodologies, acquiring the ability to investigate and analyze various musical topics, apply theoretical frameworks, and present findings in structured research papers. | 3. cultivate critical thinking skills by navigating evolving theoretical perspectives and exploring the historical and cultural contexts that influenced music during the 20th C, fostering a deeper understanding of artistic expression. | 4. enhance communication skills through the synthesis and presentation of research findings, fostering effective expression and engagement within a scholarly community.",2024-01-31,2,,
MUS 603,Entrepreneurship in the Arts,Music: Graduate Studies,3,C05 3u,"Graduate-level course explores entrepreneurship in the arts and music industry. Analyze power dynamics, business aspects, and craft personal branding. Develop a comprehensive marketing plan, reflecting on arts’ broader societal impact.",,,,,A-F grading only.,On-ground.,Fall Alternate Years,,,"1. Analyze the impact of power and social identity on career options in various arts disciplines. | 2. Navigate the logistical and business aspects of arts industries, drawing inspiration from historical and contemporary perspectives. | 3. Identify and articulate personal career paths in the arts, employing tools such as résumés, cover letters, and online media. | 4. Develop and implement a comprehensive marketing plan tailored to achieve success in a chosen career path. | 5. Demonstrate an understanding of the societal impact of arts and humanities perspectives, using this knowledge for the benefit of local and global communities.",2024-01-31,1,,
MUS 604,Sounding Justice: Unveiling the Ecological and Social Dimensions of,Music: Graduate Studies,2,C05 2u,"Explore the transformative nexus of music, environment, and social justice in “Sounding Justice.” Dive into critical analyses, ethical reflections, and applied projects to harness the power of music for positive change.",,,,,A-F grading only.,On-ground.,Spring Alternate Years,,,"1. Demonstrate a comprehensive understanding of the intricate relationships between music, the environment, and social justice. | 2. Develop critical analytical skills to assess the impact of music on environmental sustainability and its role in advocating for social change. | 3. Acquire practical skills in leveraging music as a tool for environmental sustainability and social justice, through hands-on projects and case studies. | 4. Engage in ethical reflection on the responsibilities and ethical considerations related to music creation, consumption, and advocacy for social causes. | 5. Enhance communication proficiency in articulating the relationships between music, the environment, and social justice, both in written and oral formats.",2024-01-31,1,,
MUS 605,History and Theory of Jazz,Music: Graduate Studies,2,C05 2u,"This graduate seminar offers an in-depth exploration of jazz, unraveling its historical narratives and theoretical underpinnings. Dive into the evolution of jazz, dissecting key movements, influential figures, and the cultural forces that have shaped this dynamic and enduring genre.",,,,,A-F grading only.,On-ground.,Spring Alternate Years,,,"1. Evaluate the historical development of jazz, recognizing key movements, styles, and influential figures. | 2. Analyze the theoretical frameworks underpinning jazz, including harmonic structures, improvisation techniques, and stylistic nuances. | 3. Explore the intersection of jazz with socio-cultural dynamics, understanding its impact on society and vice versa. | 4. Develop critical listening skills to discern and appreciate various jazz styles and innovations. | 5. Synthesize knowledge through research projects, presentations, and discussions, demonstrating a comprehensive understanding of jazz history and theory.",2024-01-31,1,,
MUS 606,Interdisciplinary Collaboration in Music,Music: Graduate Studies,2,C05 1u + C10 1u,"Explore the dynamic fusion of music with diverse arts in “Interdisciplinary Collaboration in Music Performance.” Composers, conductors, and performers engage in collaborative projects, adapting traditional practices for innovative, multidimensional performances. Thrive in the evolving landscape of interdisciplinary arts.",,,,,A-F grading only.,On-ground.,Fall Alternate Years,,,"1. Create original compositions that seamlessly integrate music with diverse artistic disciplines, demonstrating a mastery of collaborative composition techniques and fostering interdisciplinary creativity. | 2. Refine their skills in leading ensembles that incorporate unconventional staging, multimedia elements, and collaborative artistic elements, showcasing adaptability and effective leadership in interdisciplinary settings. | 3. Engage in experimental projects, adapting to unconventional performance spaces and collaborating with artists from various disciplines, demonstrating the ability to contribute effectively to multidimensional and interdisciplinary performances. | 4. Critically analyze and discuss case studies of successful interdisciplinary collaborations in the music industry, gaining insights into effective communication, problem-solving, and artistic synthesis in diverse professional settings. | 5. Gain an understanding of career opportunities and challenges in interdisciplinary arts, developing the skills necessary to navigate and contribute to the evolving landscape of collaborative projects beyond academic contexts.",2024-01-31,1,,
MUS 610,Seminar in Music of the 20th (post-1945) & 21st Centuries,Music: Graduate Studies,3,C05 3u,"Musical styles, forms and performance practice from 1945 to the present, with detailed analyses of representative works and close reading of historical writings.",,,,,A-F grading only.,On-ground.,Spring Alternate Years,,,"1. Actively participate in seminar discussions focused on important and relevant issues in the analysis of music. | 2. Address complex and challenging questions related to music theory and musical analysis through the application of critical thinking, analytical reasoning, and research methodology. | 3. Communicate your findings clearly and persuasively through both written and verbal means. | 4. Work cooperatively and respectfully with classmates on classroom, research, and presentation projects.",2021-09-22,1,,
MUS 622,Seminar in Asian Music and Culture,Music: Graduate Studies,3,blank,"Music and culture of selected parts of Asia and the Asian diaspora. Issues of identity, politics, modernization, and globalization will be studied from an ethnomusicological perspective.",M.A. Music major.,,,,A-F grading only.,On-ground.,,,,"1. To learn to understand and appreciate selected music of Asia from an ethnomusicological perspective, that is, as developing through the unique conditions of the historical and cultural processes that gave rise to them. | 2. To understand how these musical traditions continuously develop and transform in a contemporary world defined by large-scale processes such as globalization, mass mediation, and electronic communications. | 3. Through the application of critical and creative thinking, communicate your understanding of how music in the culture you select answers or fulfills a particular problem or need.",2016-02-24,1,"last revised 2016-02-24, still on the 2016 conversion form; no teaching component or classification on record",
MUS 630,Advanced Conducting,Music: Graduate Studies,2,C05 1u + C10 1u,"Ensemble conducting techniques including stylistic, pedagogical, and physical studies in gesture. Score analysis and ear training through the study of music from all genres and historical periods. Advanced rehearsal techniques and program building, including the development of ensemble.",Student enrolled in the M.A. in Music or MUS 441 or Instructor Permission,,,May be repeated for credit for a maximum of 4 units.,A-F grading only.,On-ground.,Fall Alternate Years,,,"1. Read at sight with fluency, demonstrate keyboard competency, and sing in tune (alone and with others). | 2. Demonstrate the knowledge and sufficient skills to work as a leader and in collaboration on matters of musical interpretation. | 3. Show an understanding of the common elements and organizational patterns of music and their interaction, and demonstrate the ability to employ this understanding in aural, verbal, and visual analyses. | 4. Demonstrate the ability to place music in historical, cultural, and stylistic contexts. | 5. Show the ability to work independently on a variety of musical problems. | 6. Form and defend value judgments about music. | 7. Solve problems using quality reference, research, and pedagogical materials including technology.",2024-01-31,2,,
MUS 631,Teaching Music in Higher Education,Music: Graduate Studies,2,C05 2u,"Preparation for careers in post-secondary education. Study of learning theories, curriculum development, assessment, and materials for teaching music in higher education.",M.A. Music major.,,,,A-F grading only.,On-ground or Hybrid.,Spring Alternate Years,,,"1. Become familiar with a variety of teaching techniques/situations, such as lectures, small groups, individual lessons, and small/large ensemble rehearsals. | 2. Create curricular materials such as lesson/rehearsal plans and syllabi. | 3. Participate in peer teaching situations. | 4. Survey current resources/practices in higher education, i.e. textbooks, online/hybrid options, etc. | 5. Create a CV and participate in a mock job interview for a college/university position.",2024-01-31,2,,
MUS 633,Pedagogy of Music Theory,Music: Graduate Studies,3,blank,"Materials, organization, techniques, and problems of the first two years of collegiate theory and musicianship teaching. Bibliographical survey of texts and materials, sample teaching, and observation of collegiate theory classes.",Department consent.,,Baccalaureate degree in music.,,A-F grading only.,On-ground.,,,,"1. Demonstrate familiarity with a variety of developmentally appropriate strategies for teaching collegiate music theory. | 2. Design instruction using a variety of modalities, accounting for learner differences. | 3. Demonstrate familiarity with and ability to evaluate curricular materials for music theory and musicianship (i.e. aural skills). | 4. Demonstrate familiarity with a variety of systems for rhythm (i.e Cheve, Gordon, takadimi), melody (solfegge), and overall approach (i.e. Kodaly).",2019-02-15,1,no teaching component or classification on record,
MUS 638,History and Philosophy of Music Education,Music: Graduate Studies,3,blank,"Study of historical and philosophical trends in music education, with an emphasis on their application to current practices, scholarship, and policy in music teaching and learning.",Department consent.,,,,A-F grading only.,On-ground.,,,,"1. Read complex texts, create original arguments, analyze the arguments of others, and express these criticisms orally and in writing. | 2. Demonstrate knowledge of major philosophers in music and music education, their relevant concepts, theories, methods, and historical contexts. | 3. Relate significant significant topic in the history and philosophy of music education to current events in K-12 music education. | 4. Demonstrate knowledge of major historical movements and events in music education and relate them to modern movements and events in music education. | 5. Cultivate an appreciation for a diversity of ideas and values across time and for human difference in areas such as: religion, culture, ethnicity, race, class, sexuality, and gender.",2019-02-15,1,no teaching component or classification on record,
MUS 660A,Graduate Vocal Coaching,Music: Graduate Studies,1–2,C36 1u,Individual coaching in collaborative music making for music majors with Graduate-level performance ability. Coaching times arranged according to graduate degree recital expectations as outlined in the music major handbook.,Department consent.,MUS 662.,,May be repeated for credit for a maximum of 8 units.,A-F grading only.,On-ground.,,,,"1. To develop the musical skills required to collaborate effectively with an accompanist, including but not limited to identifying and articulating musical ideas and understanding their relationship to the text, and listening to the musical elements of the accompaniment part and responding to them flexibly and musically. | 2. To develop language skills related to singing, including but not limited to diction, translation, poetic delivery and interpretation, and character development. | 3. To develop an understanding of musical styles, interpretation, and performance practice to a level consistent with the student’s degree level. | 4. To develop and improve performance skills to a level consistent with the student’s degree level.",2024-01-31,3,"prerequisite of department consent, absent on most graduate applied courses",
MUS 660B,Graduate Instrumental Coaching,Music: Graduate Studies,1–2,C36 1u,Individual coaching in collaborative music making for music majors with Graduate-level performance ability. Coaching times are arranged according to graduate degree recital expectations as outlined in the music major handbook.,Department consent.,"Minimum of one course from: MUS 661, MUS 661A, MUS 663 - MUS 669.",,May be repeated for credit for a maximum of 8 units.,A-F grading only.,On-ground.,,,,"1. To develop the musical skills required to collaborate effectively with an accompanist, including but not limited to identifying and articulating musical ideas, and listening to the musical elements of the accompaniment part and responding to them flexibly and musically. | 2. To develop an understanding of musical styles, interpretation, and performance practice to a level consistent with the student’s degree level. | 3. To develop and improve performance skills to a level consistent with the student’s degree level.",2024-01-31,3,"prerequisite of department consent, absent on most graduate applied courses; requires MUS 669, renumbered or discontinued",
MUS 661,Graduate Applied Study: Piano,Music: Graduate Studies,1–2,C36 1u,"Individual instruction for music majors at the graduate performance level. Students demonstrate progress before a faculty jury at the end of each semester, please refer to the Music Student Handbook for detailed information.",Department consent.,,,May be repeated for credit for a maximum of 8 units.,A-F grading only.,On-ground.,Fall & Spring,,,"1. Students in this course will develop performance skills through pedagogically appropriate repertoire, exercises, and technical drills. | 2. They will learn effective strategies for learning new repertoire, solving musical problems, and increasing facility on their instrument. | 3. Students will be expected to bring a prescribed group of works to a performance-level standard of completion.",2024-01-31,2,"prerequisite of department consent, absent on most graduate applied courses",
MUS 661A,Graduate Applied Study: Jazz Piano and Keyboard,Music: Graduate Studies,1–2,C36 1u,"Individual instruction for music majors at the graduate performance level. Students demonstrate progress before a faculty jury at the end of each semester, please refer to the Music Student Handbook for detailed information.",Department consent.,,,May be repeated for credit for a maximum of 8 units.,A-F grading only.,On-ground.,Fall & Spring,,,"1. Develop technical skills through pedagogically appropriate repertoire, exercises, and drills. | 2. Improve knowledge and awareness of musical style and performance practice. | 3. Develop effective strategies for learning new repertoire, solving musical problems, and increasing facility. | 4. Bring a prescribed group of works to a performance-level standard of completion.",2024-01-31,4,"prerequisite of department consent, absent on most graduate applied courses",
MUS 662,Graduate Applied Study: Voice,Music: Graduate Studies,1–2,C36 1u,"Individual instruction for music majors or minors with Graduate-level performance ability. Audition required. At the end of the second semester of study, students demonstrate their progress before a faculty jury. A failed jury results in a failing grade for the course.",,,,May be repeated for credit for a maximum of 8 units.,A-F grading only.,On-ground.,Fall & Spring,,,"1. Develop technical skills through pedagogically appropriate repertoire, exercises, and drills. | 2. Improve knowledge and awareness of musical style and performance practice. | 3. Develop effective strategies for learning new repertoire, solving musical problems, and increasing facility. | 4. Bring a prescribed group of works to a performance-level standard of completion.",2024-01-31,4,"description runs to 41 words, over the 40-word limit",description: Individual instruction for graduate students at the graduate performance level. Audition required. Students demonstrate progress before a faculty jury at the end of the second semester of study. Jury requirements appear in the Music Student Handbook.
MUS 663,Graduate Applied Study: Strings,Music: Graduate Studies,1–2,C36 1u,"Individual instruction for music majors at the graduate performance level. Students demonstrate progress before a faculty jury at the end of each semester, please refer to the Music Student Handbook for detailed information.",,,,May be repeated for credit for a maximum of 8 units.,A-F grading only.,On-ground.,,,,"1. Develop technical skills through pedagogically appropriate repertoire, exercises, and drills. | 2. Improve knowledge and awareness of musical style and performance practice. | 3. Develop effective strategies for learning new repertoire, solving musical problems, and increasing facility. | 4. Bring a prescribed group of works to a performance-level standard of completion.",2024-01-31,2,,
MUS 663A,Graduate Applied Study: Jazz Strings,Music: Graduate Studies,1–2,C36 1u,"Individual instruction for music majors at the graduate performance level. Students demonstrate progress before a faculty jury at the end of each semester, please refer to the Music Student Handbook for detailed information.",,,,May be repeated for credit for a maximum of 8 units.,A-F grading only.,On-ground.,Fall & Spring,,,"1. Develop technical skills through pedagogically appropriate repertoire, exercises, and drills. | 2. Improve knowledge and awareness of musical style and performance practice. | 3. Develop effective strategies for learning new repertoire, solving musical problems, and increasing facility. | 4. Bring a prescribed group of works to a performance-level standard of completion.",2024-01-31,4,,
MUS 664,Graduate Applied Study: Woodwinds,Music: Graduate Studies,1–2,C36 1u,"Individual instruction for music majors at the graduate performance level. Students demonstrate progress before a faculty jury at the end of each semester, please refer to the Music Student Handbook for detailed information.",,,,May be repeated for credit for a maximum of 8 units.,A-F grading only.,On-ground.,Fall & Spring,,,"1. Develop technical skills through pedagogically appropriate repertoire, exercises, and drills. | 2. Improve knowledge and awareness of musical style and performance practice. | 3. Develop effective strategies for learning new repertoire, solving musical problems, and increasing facility. | 4. Bring a prescribed group of works to a performance-level standard of completion.",2024-01-31,2,,
MUS 664A,Graduate Applied Study: Jazz Woodwinds,Music: Graduate Studies,1,C36 1u,"Individual instruction for music majors at the graduate performance level. Students demonstrate progress before a faculty jury at the end of each semester, please refer to the Music Student Handbook for detailed information.",,,,May be repeated for credit for a maximum of 8 units.,A-F grading only.,On-ground.,Fall & Spring,,,"1. Students in this course will develop performance skills through pedagogically appropriate repertoire, exercises, and technical drills. | 2. They will learn effective strategies for learning new repertoire, solving musical problems, and increasing facility on their instrument. | 3. Students will be expected to bring a prescribed group of works to a performance-level standard of completion.",2024-01-31,4,"units publish as 1 where the other graduate applied courses publish 1-2; units publish as 1, record holds 1–2",
MUS 665,Graduate Applied Study: Brass,Music: Graduate Studies,1–2,C36 1u,"Individual instruction for music majors at the graduate performance level. Students demonstrate progress before a faculty jury at the end of each semester, please refer to the Music Student Handbook for detailed information.",,,,May be repeated for credit for a maximum of 8 units.,A-F grading only.,On-ground.,Fall & Spring,,,"1. Develop technical skills through pedagogically appropriate repertoire, exercises, and drills. | 2. Improve knowledge and awareness of musical style and performance practice. | 3. Develop effective strategies for learning new repertoire, solving musical problems, and increasing facility. | 4. Bring a prescribed group of works to a performance-level standard of completion.",2024-01-31,2,,
MUS 665A,Graduate Applied Study: Jazz Brass,Music: Graduate Studies,1–2,C36 1u,"Individual instruction for music majors at the graduate performance level. Students demonstrate progress before a faculty jury at the end of each semester, please refer to the Music Student Handbook for detailed information.",,,,May be repeated for credit for a maximum of 8 units.,A-F grading only.,On-ground.,Fall & Spring,,,"1. Develop technical skills through pedagogically appropriate repertoire, exercises, and drills. | 2. Improve knowledge and awareness of musical style and performance practice. | 3. Develop effective strategies for learning new repertoire, solving musical problems, and increasing facility. | 4. Bring a prescribed group of works to a performance-level standard of completion.",2024-01-31,4,,
MUS 666,Graduate Applied Study: Percussion,Music: Graduate Studies,1–2,C36 1u,"Individual instruction for music majors at the graduate performance level. Students demonstrate progress before a faculty jury at the end of each semester, please refer to the Music Student Handbook for detailed information.",,,,May be repeated for credit for a maximum of 8 units.,A-F grading only.,On-ground.,Fall & Spring,,,"1. Develop technical skills through pedagogically appropriate repertoire, exercises, and drills. | 2. Improve knowledge and awareness of musical style and performance practice. | 3. Develop effective strategies for learning new repertoire, solving musical problems, and increasing facility. | 4. Bring a prescribed group of works to a performance-level standard of completion.",2024-01-31,4,,
MUS 666A,Graduate Applied Study: Jazz Percussion,Music: Graduate Studies,1–2,C36 1u,"Individual instruction for music majors at the graduate performance level. Students demonstrate progress before a faculty jury at the end of each semester, please refer to the Music Student Handbook for detailed information.",Department consent.,,,May be repeated for credit for a maximum of 8 units.,A-F grading only.,On-ground.,Fall & Spring,,,"1. Students in this course will develop performance skills through pedagogically appropriate repertoire, exercises, and technical drills. | 2. They will learn effective strategies for learning new repertoire, solving musical problems, and increasing facility on their instrument. | 3. Students will be expected to bring a prescribed group of works to a performance-level standard of completion.",2024-01-31,2,"prerequisite of department consent, absent on most graduate applied courses",
MUS 667,Graduate Applied Study: Composition,Music: Graduate Studies,1–2,C36 1u,"Individual instruction for music majors at the graduate performance level. Students demonstrate progress before a faculty jury at the end of each semester, please refer to the Music Student Handbook for detailed information.",,,,May be repeated for credit for a maximum of 8 units.,A-F grading only.,On-ground.,Fall & Spring,,,"1. Develop technical skills through pedagogically appropriate repertoire, exercises, and drills. | 2. Improve knowledge and awareness of musical style and performance practice. | 3. Develop effective strategies for learning new repertoire, solving musical problems, and increasing facility. | 4. Bring a prescribed group of works to a performance-level standard of completion.",2024-01-31,2,,
MUS 668,Graduate Applied Study: Conducting,Music: Graduate Studies,1–2,C36 1u,"Individual instruction for music majors at the graduate performance level. Students demonstrate progress before a faculty jury at the end of each semester, please refer to the Music Student Handbook for detailed information.",,,,May be repeated for credit for a maximum of 8 units.,A-F grading only.,On-ground.,Fall & Spring,,,"1. Develop technical skills through pedagogically appropriate repertoire, exercises, and drills. | 2. Improve knowledge and awareness of musical style and performance practice. | 3. Develop effective strategies for learning new repertoire, solving musical problems, and increasing facility. | 4. Bring a prescribed group of works to a performance-level standard of completion.",2024-01-31,4,,
MUS 671,Kodály Pedagogy,Music: Graduate Studies,1,C10 1u,"An introduction to the philosophy and practice of the Kodály-based curriculum of music teaching and learning. Curriculum development, teaching techniques, lesson planning and supportive song literature including singing games and dances.",,,Baccalaureate degree in music; School teaching experience in music,Repeatable for credit up to 4 units.,A-F or CR/NC (student choice),On-ground.,Variable Intermittently,,,,2025-09-14,1,"no learning outcomes published, required on the current form; repeatability uses non-standard phrasing",outcomes to be drafted by area faculty
MUS 676,Introduction to Orff Schulwerk,Music: Graduate Studies,1,C10 1u,"Exploration of the Orff Schulwerk approach to music education. Focus on elementary music, improvisation, movement, and instruments. Includes curriculum development, lesson design, teaching methods, and supportive song, speech, and dance literature.",,,Baccalaureate degree in music; 1+ years of K-12 music teaching experience,Repeatable for credit up to 4 units.,A-F or CR/NC (student choice),On-ground.,Summer ONLY,,,"1. Explain the core principles of Orff Schulwerk in music teaching and learning. | 2. Demonstrate musicianship through singing, movement, percussion, and improvisation. | 3. Teach and adapt multicultural repertoire of songs, games, and dances for classroom use. | 4. Design sequential lesson plans using Orff processes of imitation, exploration, improvisation and creation. | 5. Lead inclusive classroom activities that support diverse learners.",2025-09-15,1,repeatability uses non-standard phrasing,
MUS 678,Introduction to Dalcroze Eurythmics,Music: Graduate Studies,1,C10 1u,"Study of Dalcroze Eurythmics approach. Emphasis on embodied rhythm, improvisation, solfège, and active listening. Includes curriculum planning, pedagogical methods, and movement-based strategies for developing musicianship and creative teaching.",,,Baccalaureate degree in music; 1+ years of K-12 school music experience,Repeatable for credit up to 4 units.,A-F or CR/NC (student choice),On-ground,Summer ONLY,,,,2025-09-15,1,"no learning outcomes published, required on the current form; repeatability uses non-standard phrasing",outcomes to be drafted by area faculty
MUS 690,Independent Study,Music: Graduate Studies,1–3,blank,Selected research topics agreed on between the student and the faculty supervising the course. A plan of work completion must be approved prior to proceeding with the project.,Department consent and minimum 3.0 GPA.,,,"May be repeated for credit with consent of instructor, for a maximum of 3 units.",A-F grading only.,On-ground.,,,,,2016-02-26,1,"last revised 2016-02-26, still on the 2016 conversion form; no learning outcomes published, required on the current form; no teaching component or classification on record",outcomes to be drafted by area faculty
MUS 691,University Thesis,Music: Graduate Studies,1–4,blank,"Development and completion of a formal written thesis for submission to the university. Supervision by a departmental committee, at least one of whom must be a Cal State East Bay faculty member. Oral defense required. (See also “University Thesis Writing Guide,” www.csueastbay.edu/thesiswritingguide).",Department consent.,,,Course may be repeated for credit for a maximum of 4 units.,A-F grading only.,On-ground.,,,,"1. Plan and complete a formal written thesis that demonstrates mastery in the areas of composition, music theory, music history, or music education. | 2. Address significant and relevant issues through critical and creative thinking and analytical reasoning. | 3. Work collaboratively and respectfully with their thesis committee.",2016-02-26,1,"description runs to 42 words, over the 40-word limit; last revised 2016-02-26, still on the 2016 conversion form; no teaching component or classification on record","description: Development and completion of a formal written thesis for submission to the university. Supervision by a departmental committee, at least one member of which must be a Cal State East Bay faculty member. Oral defense required."
MUS 692,Comprehensive Exam Review,Music: Graduate Studies,1–6,C36 1-6u,Selected readings in consultation with two faculty members in preparation for the Master’s Comprehensive Examination in music. The selected readings and the exams must be consistent with the student’s areas of concentration and approved by the faculty mentors.,Department consent.,,,May be repeated for credit for a maximum of 6 units.,A-F grading only.,On-ground.,,,,"1. Students will demonstrate the ability to complete in-depth research into selected areas within their particular disciplines. | 2. Students will demonstrate knowledge of significant scholarship and/or creative output, consistent with standard graduate level expectations, in their respective disciplines. | 3. Students will demonstrate their mastery via both oral and written means, in the form of papers or other scholarly documents as well as with an oral examination / defense.",2019-08-30,1,"units publish as 1–6, record holds 6",
MUS 693,Graduate Music Capstone,Music: Graduate Studies,1,C25 1u,"Students receive individualized guidance in the preparation and completion of their final capstone project. Students will develop an approach, timeline, and realize this project at the level of artistry and professionalism required to succeed in their field.",,,,May be repeated for credit for a maximum of 3 units.,A-F grading only.,On-ground.,Fall & Spring,,,"1. Strategize and execute a sophisticated project showcasing your expertise in your chosen area of emphasis. | 2. Tackle substantial and pertinent challenges using a combination of critical thinking, creative problem-solving, and analytical reasoning. | 3. Engage in collaborative efforts with a focus on fostering respect and effective teamwork.",2024-01-31,2,,
MUS 697,Issues in Music,Music: Graduate Studies,3,blank,"Graduate seminar focused on readings, discussion, and research on significant issues in music.",Department consent.,,,May repeat once for credit for a maximum of 6 units when topic varies.,A-F grading only.,On-ground.,,,,"1. Address significant and relevant issues in music through critical and creative thinking and analytical reasoning. | 2. Clearly and persuasively communicate one’s findings to others. | 3. Work collaboratively and respectfully with classmates and instructors in, and outside of, the classroom.",2016-02-26,1,"last revised 2016-02-26, still on the 2016 conversion form; no teaching component or classification on record",
MUS 698,Internship,Music: Graduate Studies,1–3,blank,Formal advanced work opportunities integrating the academic program with their career aspirations. Integral advanced hands-on experience enhancing education and preparing for professional and personal success.,Department consent and minimum 2.0 GPA.,,,May be repeated with department consent for a maximum of 6 units.,CR/NC grading only.,On-ground.,,No units may be applied to the Music major; no more than 3 units may be applied to the Music,,,,0,"no learning outcomes published, required on the current form; no proposal on record in the Curriculog archive; no teaching component or classification on record",outcomes to be drafted by area faculty
MUS 699,Departmental Thesis,Music: Graduate Studies,1–6,C36 1-6u,"Development and writing of a research paper for submission to the music department, using a department-specified format. Supervision by a departmental committee, at least two of whom must be faculty members of the department of music. Oral defense normally required.",Department consent,,,May be repeated for credit for a maximum of 6 units.,A-F grading only.,On-ground.,,,,"1. Complete in-depth research into selected areas within their particular disciplines. | 2. Demonstrate knowledge of significant scholarship and/or creative output, consistent with standard graduate level expectations, in their respective disciplines. | 3. Demonstrate their mastery of the determined content through the creation and submission of a substantial written document. | 4. Present an oral defense of the final document.",2019-08-30,1,"units publish as 1–6, record holds 6",
